id,titulo,tipo,finalidade,bairro,endereco,preco_venda,preco_locacao,area_total_m2,quartos,suites,banheiros,vagas,descricao,imagens_urls,status,data_cadastro,ultima_atualizacao,proprietario_id
11,Apartamento Alto Padrão - 13 de Julho,Apartamento,Locacao,13 de Julho,"Rua Doutor Celso Oliva, 234, Aracaju - SE",0.0,4500.0,145.0,3,3,4,2,"Apartamento sofisticado com vista para o rio e mar. 3 suítes, amplo e reformado.",https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4?w=800,Disponivel,,,
12,Casa 3 Quartos - Brotas,Casa,Locacao,Brotas,"Rua Silveira Martins, 234, Aracaju - SE",0.0,3500.0,180.0,3,1,2,2,"Casa espaçosa com 3 quartos sendo 1 suíte, sala 2 ambientes, quintal e 2 vagas.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,Disponivel,,,
13,Casa 3 Quartos - Jardim Centenário,Casa,Locacao,Jardim Centenário,"Rua Paulo Cesar Santos, 178, Aracaju - SE",0.0,2800.0,150.0,3,0,2,2,"Casa térrea em rua tranquila, 3 quartos, garagem para 2 carros, quintal amplo.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,Disponivel,,,
14,Apartamento 2 Quartos - Siqueira Campos,Apartamento,Venda,Siqueira Campos,"Av. Augusto Franco, 2340, Aracaju - SE",255000.0,0.0,75.0,2,0,1,1,"Apartamento amplo na Av. Augusto Franco. 2 quartos, sala, cozinha, 1 vaga. Ótima localização.",https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800,Disponivel,,,
15,Apartamento 2 Quartos + Suíte - Luzia,Apartamento,Venda,Luzia,"Rua Professor José de Souza Brandão, 456, Aracaju - SE",380000.0,0.0,68.0,2,1,2,1,"Apartamento moderno no bairro Luzia, próximo a shoppings. 2 quartos sendo 1 suíte.",https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=800,Disponivel,,,
16,Apartamento 3 Quartos - Jardins,Apartamento,Venda,Jardins,"Rua Nicola Biancamano, 789, Aracaju - SE",620000.0,0.0,95.0,3,1,2,2,"Apartamento no bairro Jardins, próximo ao Shopping. 3 quartos sendo 1 suíte, área de lazer completa.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,Disponivel,,,
17,Apartamento 3 Quartos - Farolândia,Apartamento,Venda,Farolândia,"Av. Presidente Tancredo Neves, 234, Aracaju - SE",485000.0,0.0,88.0,3,1,2,2,"Próximo à UNIT e aeroporto. 3 quartos sendo 1 suíte, varanda, 2 vagas cobertas.",https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,Disponivel,,,
18,Apartamento 3 Quartos - Coroa do Meio,Apartamento,Venda,Coroa do Meio,"Av. Conselheiro João Moreira Filho, 1234, Aracaju - SE",550000.0,0.0,92.0,3,1,2,2,"Apartamento espaçoso na Coroa do Meio. 3 quartos sendo 1 suíte, 2 vagas.",https://images.unsplash.com/photo-1600585152915-d208bec867a1?w=800,Disponivel,,,
19,Apartamento Luxo 3 Suítes - 13 de Julho Vista Rio,Apartamento,Venda,13 de Julho,"Rua Paulo Freire Oliveira, 567, Aracaju - SE",1850000.0,0.0,160.0,3,3,4,2,"Apartamento sofisticado com vista panorâmica para o rio e mar. 3 suítes com closet, totalmente reformado.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,Disponivel,,,
20,Apartamento Alto Padrão - Jardins Europa,Apartamento,Venda,Jardins,"Alameda Europa - Cond. Jardins Europa, Aracaju - SE",2200000.0,0.0,234.0,4,3,5,3,Apartamento sofisticado e completamente reformado com jacuzzi. 234m² em bairro nobre.,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,Disponivel,,,
21,Cobertura Duplex - Atalaia Frente Mar,Apartamento,Venda,Atalaia,"Av. Santos Dumont, 1890 - Portillo Residence, Aracaju - SE",1950000.0,0.0,185.0,3,3,4,3,"Cobertura espetacular frente ao mar com 3 suítes, piscina privativa e área gourmet.",https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4?w=800,Disponivel,,,
22,Casa 3 Quartos - Jardim Centenário,Casa,Venda,Jardim Centenário,"Rua Soldado José do Patrocínio, 345, Aracaju - SE",480000.0,0.0,200.0,3,1,2,2,"Casa térrea com 3 quartos sendo 1 suíte, quintal amplo, garagem coberta para 2 carros.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,Disponivel,,,
23,Casa 4 Quartos - Jabotiana,Casa,Venda,Jabotiana,"Rua dos Ipês, 234 - Cond. Exclusive Jabotiana, Aracaju - SE",750000.0,0.0,280.0,4,2,3,3,"Casa espaçosa em condomínio fechado. 4 quartos sendo 2 suítes, área gourmet e piscina.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,Disponivel,,,
24,Casa Duplex 4 Suítes - Aruana,Casa,Venda,Aruana,"Rodovia José Sarney - Cond. Guilhermino Rezende, Aracaju - SE",1650000.0,0.0,420.0,4,4,5,4,"Linda casa em condomínio de alto padrão. 4 suítes, escritório, área gourmet completa e piscina.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,Disponivel,,,
25,Casa Luxo 5 Suítes - Aruana,Casa,Venda,Aruana,"Rodovia José Sarney - Cond. Ravines, Aracaju - SE",2300000.0,0.0,550.0,5,5,6,5,"Mansão em condomínio exclusivo, 5 suítes com closet, piscina, sauna, área gourmet premium.",https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800,Disponivel,,,
26,Sala Comercial - Jardins,Comercial,Ambos,Jardins,"Av. Ministro Geraldo Barreto Sobral, 789 - Sala 302, Aracaju - SE",385000.0,2800.0,45.0,0,0,2,1,"Sala comercial moderna no Jardins, próximo ao shopping. Ótima para escritório ou consultório.",https://images.unsplash.com/photo-1497366216548-37526070297c?w=800,Disponivel,,,
27,Sala Comercial - 13 de Julho,Comercial,Ambos,13 de Julho,"Rua Itabaiana, 456 - Sala 201, Aracaju - SE",520000.0,3500.0,85.0,0,0,3,2,"Ponto comercial em área nobre com 5 salas amplas, 3 banheiros e 2 ar condicionados.",https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=800,Disponivel,,,
28,Apartamento 2 Quartos - Atalaia,Apartamento,Ambos,Atalaia,"Rua Jordão de Oliveira, 234, Aracaju - SE",420000.0,2500.0,86.0,3,0,2,1,"Ótimo para investimento! Apartamento bem localizado na Atalaia, próximo à orla.",https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=800,Disponivel,,,
